Using device: cuda
Found 142 patient folders in /mnt/Drive2/lucas/models/DIRAC/Dataset/predict_gbm/
[ok] respond_tum_001: wrote t1c_warped_longitudinal.nii.gz, recurrence_preop.nii.gz, t1c_warped_longitudinal_alt.nii.gz, recurrence_preop_alt.nii.gz, and respond_tum_001_Y_X_recurrence.nii.gz
[ok] respond_tum_041: wrote t1c_warped_longitudinal.nii.gz, recurrence_preop.nii.gz, t1c_warped_longitudinal_alt.nii.gz, recurrence_preop_alt.nii.gz, and respond_tum_041_Y_X_recurrence.nii.gz
[ok] respond_tum_045: wrote t1c_warped_longitudinal.nii.gz, recurrence_preop.nii.gz, t1c_warped_longitudinal_alt.nii.gz, recurrence_preop_alt.nii.gz, and respond_tum_045_Y_X_recurrence.nii.gz
[ok] respond_tum_046: wrote t1c_warped_longitudinal.nii.gz, recurrence_preop.nii.gz, t1c_warped_longitudinal_alt.nii.gz, recurrence_preop_alt.nii.gz, and respond_tum_046_Y_X_recurrence.nii.gz
[ok] respond_tum_047: wrote t1c_warped_longitudinal.nii.gz, recurrence_preop.nii.gz, t1c_warped_longitudinal_alt.nii.gz, recurrence_preop_alt.nii.gz, and respond_tum_047_Y_X_recurrence.nii.gz
[ok] respond_tum_051: wrote t1c_warped_longitudinal.nii.gz, recurrence_preop.nii.gz, t1c_warped_longitudinal_alt.nii.gz, recurrence_preop_alt.nii.gz, and respond_tum_051_Y_X_recurrence.nii.gz
[ok] respond_tum_053: wrote t1c_warped_longitudinal.nii.gz, recurrence_preop.nii.gz, t1c_warped_longitudinal_alt.nii.gz, recurrence_preop_alt.nii.gz, and respond_tum_053_Y_X_recurrence.nii.gz
[ok] respond_tum_054: wrote t1c_warped_longitudinal.nii.gz, recurrence_preop.nii.gz, t1c_warped_longitudinal_alt.nii.gz, recurrence_preop_alt.nii.gz, and respond_tum_054_Y_X_recurrence.nii.gz
[ok] respond_tum_055: wrote t1c_warped_longitudinal.nii.gz, recurrence_preop.nii.gz, t1c_warped_longitudinal_alt.nii.gz, recurrence_preop_alt.nii.gz, and respond_tum_055_Y_X_recurrence.nii.gz
[ok] respond_tum_056: wrote t1c_warped_longitudinal.nii.gz, recurrence_preop.nii.gz, t1c_warped_longitudinal_alt.nii.gz, recurrence_preop_alt.nii.gz, and respond_tum_056_Y_X_recurrence.nii.gz
[ok] respond_tum_057: wrote t1c_warped_longitudinal.nii.gz, recurrence_preop.nii.gz, t1c_warped_longitudinal_alt.nii.gz, recurrence_preop_alt.nii.gz, and respond_tum_057_Y_X_recurrence.nii.gz
[ok] respond_tum_058: wrote t1c_warped_longitudinal.nii.gz, recurrence_preop.nii.gz, t1c_warped_longitudinal_alt.nii.gz, recurrence_preop_alt.nii.gz, and respond_tum_058_Y_X_recurrence.nii.gz
[ok] respond_tum_061: wrote t1c_warped_longitudinal.nii.gz, recurrence_preop.nii.gz, t1c_warped_longitudinal_alt.nii.gz, recurrence_preop_alt.nii.gz, and respond_tum_061_Y_X_recurrence.nii.gz
[ok] respond_tum_062: wrote t1c_warped_longitudinal.nii.gz, recurrence_preop.nii.gz, t1c_warped_longitudinal_alt.nii.gz, recurrence_preop_alt.nii.gz, and respond_tum_062_Y_X_recurrence.nii.gz
[ok] respond_tum_065: wrote t1c_warped_longitudinal.nii.gz, recurrence_preop.nii.gz, t1c_warped_longitudinal_alt.nii.gz, recurrence_preop_alt.nii.gz, and respond_tum_065_Y_X_recurrence.nii.gz
[ok] respond_tum_066: wrote t1c_warped_longitudinal.nii.gz, recurrence_preop.nii.gz, t1c_warped_longitudinal_alt.nii.gz, recurrence_preop_alt.nii.gz, and respond_tum_066_Y_X_recurrence.nii.gz
[ok] respond_tum_068: wrote t1c_warped_longitudinal.nii.gz, recurrence_preop.nii.gz, t1c_warped_longitudinal_alt.nii.gz, recurrence_preop_alt.nii.gz, and respond_tum_068_Y_X_recurrence.nii.gz
[ok] respond_tum_070: wrote t1c_warped_longitudinal.nii.gz, recurrence_preop.nii.gz, t1c_warped_longitudinal_alt.nii.gz, recurrence_preop_alt.nii.gz, and respond_tum_070_Y_X_recurrence.nii.gz
[ok] respond_tum_072: wrote t1c_warped_longitudinal.nii.gz, recurrence_preop.nii.gz, t1c_warped_longitudinal_alt.nii.gz, recurrence_preop_alt.nii.gz, and respond_tum_072_Y_X_recurrence.nii.gz
[ok] respond_tum_073: wrote t1c_warped_longitudinal.nii.gz, recurrence_preop.nii.gz, t1c_warped_longitudinal_alt.nii.gz, recurrence_preop_alt.nii.gz, and respond_tum_073_Y_X_recurrence.nii.gz
[ok] respond_tum_074: wrote t1c_warped_longitudinal.nii.gz, recurrence_preop.nii.gz, t1c_warped_longitudinal_alt.nii.gz, recurrence_preop_alt.nii.gz, and respond_tum_074_Y_X_recurrence.nii.gz
[ok] respond_tum_077: wrote t1c_warped_longitudinal.nii.gz, recurrence_preop.nii.gz, t1c_warped_longitudinal_alt.nii.gz, recurrence_preop_alt.nii.gz, and respond_tum_077_Y_X_recurrence.nii.gz
[ok] respond_tum_078: wrote t1c_warped_longitudinal.nii.gz, recurrence_preop.nii.gz, t1c_warped_longitudinal_alt.nii.gz, recurrence_preop_alt.nii.gz, and respond_tum_078_Y_X_recurrence.nii.gz
[ok] respond_tum_079: wrote t1c_warped_longitudinal.nii.gz, recurrence_preop.nii.gz, t1c_warped_longitudinal_alt.nii.gz, recurrence_preop_alt.nii.gz, and respond_tum_079_Y_X_recurrence.nii.gz
[ok] respond_tum_081: wrote t1c_warped_longitudinal.nii.gz, recurrence_preop.nii.gz, t1c_warped_longitudinal_alt.nii.gz, recurrence_preop_alt.nii.gz, and respond_tum_081_Y_X_recurrence.nii.gz
[ok] respond_tum_082: wrote t1c_warped_longitudinal.nii.gz, recurrence_preop.nii.gz, t1c_warped_longitudinal_alt.nii.gz, recurrence_preop_alt.nii.gz, and respond_tum_082_Y_X_recurrence.nii.gz
[ok] respond_tum_085: wrote t1c_warped_longitudinal.nii.gz, recurrence_preop.nii.gz, t1c_warped_longitudinal_alt.nii.gz, recurrence_preop_alt.nii.gz, and respond_tum_085_Y_X_recurrence.nii.gz
[ok] respond_tum_086: wrote t1c_warped_longitudinal.nii.gz, recurrence_preop.nii.gz, t1c_warped_longitudinal_alt.nii.gz, recurrence_preop_alt.nii.gz, and respond_tum_086_Y_X_recurrence.nii.gz
[ok] respond_tum_087: wrote t1c_warped_longitudinal.nii.gz, recurrence_preop.nii.gz, t1c_warped_longitudinal_alt.nii.gz, recurrence_preop_alt.nii.gz, and respond_tum_087_Y_X_recurrence.nii.gz
[ok] respond_tum_088: wrote t1c_warped_longitudinal.nii.gz, recurrence_preop.nii.gz, t1c_warped_longitudinal_alt.nii.gz, recurrence_preop_alt.nii.gz, and respond_tum_088_Y_X_recurrence.nii.gz
[ok] respond_tum_089: wrote t1c_warped_longitudinal.nii.gz, recurrence_preop.nii.gz, t1c_warped_longitudinal_alt.nii.gz, recurrence_preop_alt.nii.gz, and respond_tum_089_Y_X_recurrence.nii.gz
[ok] respond_tum_091: wrote t1c_warped_longitudinal.nii.gz, recurrence_preop.nii.gz, t1c_warped_longitudinal_alt.nii.gz, recurrence_preop_alt.nii.gz, and respond_tum_091_Y_X_recurrence.nii.gz
[ok] respond_tum_093: wrote t1c_warped_longitudinal.nii.gz, recurrence_preop.nii.gz, t1c_warped_longitudinal_alt.nii.gz, recurrence_preop_alt.nii.gz, and respond_tum_093_Y_X_recurrence.nii.gz
[ok] respond_tum_095: wrote t1c_warped_longitudinal.nii.gz, recurrence_preop.nii.gz, t1c_warped_longitudinal_alt.nii.gz, recurrence_preop_alt.nii.gz, and respond_tum_095_Y_X_recurrence.nii.gz
[ok] respond_tum_096: wrote t1c_warped_longitudinal.nii.gz, recurrence_preop.nii.gz, t1c_warped_longitudinal_alt.nii.gz, recurrence_preop_alt.nii.gz, and respond_tum_096_Y_X_recurrence.nii.gz
[ok] respond_tum_097: wrote t1c_warped_longitudinal.nii.gz, recurrence_preop.nii.gz, t1c_warped_longitudinal_alt.nii.gz, recurrence_preop_alt.nii.gz, and respond_tum_097_Y_X_recurrence.nii.gz
[ok] respond_tum_098: wrote t1c_warped_longitudinal.nii.gz, recurrence_preop.nii.gz, t1c_warped_longitudinal_alt.nii.gz, recurrence_preop_alt.nii.gz, and respond_tum_098_Y_X_recurrence.nii.gz
[ok] respond_tum_099: wrote t1c_warped_longitudinal.nii.gz, recurrence_preop.nii.gz, t1c_warped_longitudinal_alt.nii.gz, recurrence_preop_alt.nii.gz, and respond_tum_099_Y_X_recurrence.nii.gz
[ok] respond_tum_100: wrote t1c_warped_longitudinal.nii.gz, recurrence_preop.nii.gz, t1c_warped_longitudinal_alt.nii.gz, recurrence_preop_alt.nii.gz, and respond_tum_100_Y_X_recurrence.nii.gz
[ok] respond_tum_101: wrote t1c_warped_longitudinal.nii.gz, recurrence_preop.nii.gz, t1c_warped_longitudinal_alt.nii.gz, recurrence_preop_alt.nii.gz, and respond_tum_101_Y_X_recurrence.nii.gz
[ok] respond_tum_105: wrote t1c_warped_longitudinal.nii.gz, recurrence_preop.nii.gz, t1c_warped_longitudinal_alt.nii.gz, recurrence_preop_alt.nii.gz, and respond_tum_105_Y_X_recurrence.nii.gz
[ok] respond_tum_106: wrote t1c_warped_longitudinal.nii.gz, recurrence_preop.nii.gz, t1c_warped_longitudinal_alt.nii.gz, recurrence_preop_alt.nii.gz, and respond_tum_106_Y_X_recurrence.nii.gz
[ok] respond_tum_107: wrote t1c_warped_longitudinal.nii.gz, recurrence_preop.nii.gz, t1c_warped_longitudinal_alt.nii.gz, recurrence_preop_alt.nii.gz, and respond_tum_107_Y_X_recurrence.nii.gz
[ok] respond_tum_109: wrote t1c_warped_longitudinal.nii.gz, recurrence_preop.nii.gz, t1c_warped_longitudinal_alt.nii.gz, recurrence_preop_alt.nii.gz, and respond_tum_109_Y_X_recurrence.nii.gz
[ok] respond_tum_111: wrote t1c_warped_longitudinal.nii.gz, recurrence_preop.nii.gz, t1c_warped_longitudinal_alt.nii.gz, recurrence_preop_alt.nii.gz, and respond_tum_111_Y_X_recurrence.nii.gz
[ok] respond_tum_116: wrote t1c_warped_longitudinal.nii.gz, recurrence_preop.nii.gz, t1c_warped_longitudinal_alt.nii.gz, recurrence_preop_alt.nii.gz, and respond_tum_116_Y_X_recurrence.nii.gz
[ok] respond_tum_117: wrote t1c_warped_longitudinal.nii.gz, recurrence_preop.nii.gz, t1c_warped_longitudinal_alt.nii.gz, recurrence_preop_alt.nii.gz, and respond_tum_117_Y_X_recurrence.nii.gz
[ok] respond_tum_118: wrote t1c_warped_longitudinal.nii.gz, recurrence_preop.nii.gz, t1c_warped_longitudinal_alt.nii.gz, recurrence_preop_alt.nii.gz, and respond_tum_118_Y_X_recurrence.nii.gz
[ok] respond_tum_119: wrote t1c_warped_longitudinal.nii.gz, recurrence_preop.nii.gz, t1c_warped_longitudinal_alt.nii.gz, recurrence_preop_alt.nii.gz, and respond_tum_119_Y_X_recurrence.nii.gz
[ok] respond_tum_120: wrote t1c_warped_longitudinal.nii.gz, recurrence_preop.nii.gz, t1c_warped_longitudinal_alt.nii.gz, recurrence_preop_alt.nii.gz, and respond_tum_120_Y_X_recurrence.nii.gz
[ok] respond_tum_121: wrote t1c_warped_longitudinal.nii.gz, recurrence_preop.nii.gz, t1c_warped_longitudinal_alt.nii.gz, recurrence_preop_alt.nii.gz, and respond_tum_121_Y_X_recurrence.nii.gz
[ok] respond_tum_122: wrote t1c_warped_longitudinal.nii.gz, recurrence_preop.nii.gz, t1c_warped_longitudinal_alt.nii.gz, recurrence_preop_alt.nii.gz, and respond_tum_122_Y_X_recurrence.nii.gz
[ok] respond_tum_123: wrote t1c_warped_longitudinal.nii.gz, recurrence_preop.nii.gz, t1c_warped_longitudinal_alt.nii.gz, recurrence_preop_alt.nii.gz, and respond_tum_123_Y_X_recurrence.nii.gz
[ok] respond_tum_125: wrote t1c_warped_longitudinal.nii.gz, recurrence_preop.nii.gz, t1c_warped_longitudinal_alt.nii.gz, recurrence_preop_alt.nii.gz, and respond_tum_125_Y_X_recurrence.nii.gz
[ok] respond_tum_126: wrote t1c_warped_longitudinal.nii.gz, recurrence_preop.nii.gz, t1c_warped_longitudinal_alt.nii.gz, recurrence_preop_alt.nii.gz, and respond_tum_126_Y_X_recurrence.nii.gz
[ok] respond_tum_127: wrote t1c_warped_longitudinal.nii.gz, recurrence_preop.nii.gz, t1c_warped_longitudinal_alt.nii.gz, recurrence_preop_alt.nii.gz, and respond_tum_127_Y_X_recurrence.nii.gz
[ok] respond_tum_128: wrote t1c_warped_longitudinal.nii.gz, recurrence_preop.nii.gz, t1c_warped_longitudinal_alt.nii.gz, recurrence_preop_alt.nii.gz, and respond_tum_128_Y_X_recurrence.nii.gz
[ok] respond_tum_130: wrote t1c_warped_longitudinal.nii.gz, recurrence_preop.nii.gz, t1c_warped_longitudinal_alt.nii.gz, recurrence_preop_alt.nii.gz, and respond_tum_130_Y_X_recurrence.nii.gz
[ok] respond_tum_131: wrote t1c_warped_longitudinal.nii.gz, recurrence_preop.nii.gz, t1c_warped_longitudinal_alt.nii.gz, recurrence_preop_alt.nii.gz, and respond_tum_131_Y_X_recurrence.nii.gz
[ok] respond_tum_133: wrote t1c_warped_longitudinal.nii.gz, recurrence_preop.nii.gz, t1c_warped_longitudinal_alt.nii.gz, recurrence_preop_alt.nii.gz, and respond_tum_133_Y_X_recurrence.nii.gz
[ok] respond_tum_136: wrote t1c_warped_longitudinal.nii.gz, recurrence_preop.nii.gz, t1c_warped_longitudinal_alt.nii.gz, recurrence_preop_alt.nii.gz, and respond_tum_136_Y_X_recurrence.nii.gz
[ok] respond_tum_138: wrote t1c_warped_longitudinal.nii.gz, recurrence_preop.nii.gz, t1c_warped_longitudinal_alt.nii.gz, recurrence_preop_alt.nii.gz, and respond_tum_138_Y_X_recurrence.nii.gz
[ok] respond_tum_139: wrote t1c_warped_longitudinal.nii.gz, recurrence_preop.nii.gz, t1c_warped_longitudinal_alt.nii.gz, recurrence_preop_alt.nii.gz, and respond_tum_139_Y_X_recurrence.nii.gz
[ok] respond_tum_140: wrote t1c_warped_longitudinal.nii.gz, recurrence_preop.nii.gz, t1c_warped_longitudinal_alt.nii.gz, recurrence_preop_alt.nii.gz, and respond_tum_140_Y_X_recurrence.nii.gz
[ok] respond_tum_145: wrote t1c_warped_longitudinal.nii.gz, recurrence_preop.nii.gz, t1c_warped_longitudinal_alt.nii.gz, recurrence_preop_alt.nii.gz, and respond_tum_145_Y_X_recurrence.nii.gz
[ok] respond_tum_146: wrote t1c_warped_longitudinal.nii.gz, recurrence_preop.nii.gz, t1c_warped_longitudinal_alt.nii.gz, recurrence_preop_alt.nii.gz, and respond_tum_146_Y_X_recurrence.nii.gz
[ok] respond_tum_150: wrote t1c_warped_longitudinal.nii.gz, recurrence_preop.nii.gz, t1c_warped_longitudinal_alt.nii.gz, recurrence_preop_alt.nii.gz, and respond_tum_150_Y_X_recurrence.nii.gz
[ok] respond_tum_156: wrote t1c_warped_longitudinal.nii.gz, recurrence_preop.nii.gz, t1c_warped_longitudinal_alt.nii.gz, recurrence_preop_alt.nii.gz, and respond_tum_156_Y_X_recurrence.nii.gz
[ok] respond_tum_157: wrote t1c_warped_longitudinal.nii.gz, recurrence_preop.nii.gz, t1c_warped_longitudinal_alt.nii.gz, recurrence_preop_alt.nii.gz, and respond_tum_157_Y_X_recurrence.nii.gz
[ok] tgm001: wrote t1c_warped_longitudinal.nii.gz, recurrence_preop.nii.gz, t1c_warped_longitudinal_alt.nii.gz, recurrence_preop_alt.nii.gz, and tgm001_Y_X_recurrence.nii.gz
[ok] tgm003: wrote t1c_warped_longitudinal.nii.gz, recurrence_preop.nii.gz, t1c_warped_longitudinal_alt.nii.gz, recurrence_preop_alt.nii.gz, and tgm003_Y_X_recurrence.nii.gz
[ok] tgm004: wrote t1c_warped_longitudinal.nii.gz, recurrence_preop.nii.gz, t1c_warped_longitudinal_alt.nii.gz, recurrence_preop_alt.nii.gz, and tgm004_Y_X_recurrence.nii.gz
[ok] tgm005: wrote t1c_warped_longitudinal.nii.gz, recurrence_preop.nii.gz, t1c_warped_longitudinal_alt.nii.gz, recurrence_preop_alt.nii.gz, and tgm005_Y_X_recurrence.nii.gz
[ok] tgm006: wrote t1c_warped_longitudinal.nii.gz, recurrence_preop.nii.gz, t1c_warped_longitudinal_alt.nii.gz, recurrence_preop_alt.nii.gz, and tgm006_Y_X_recurrence.nii.gz
[ok] tgm009: wrote t1c_warped_longitudinal.nii.gz, recurrence_preop.nii.gz, t1c_warped_longitudinal_alt.nii.gz, recurrence_preop_alt.nii.gz, and tgm009_Y_X_recurrence.nii.gz
[ok] tgm010: wrote t1c_warped_longitudinal.nii.gz, recurrence_preop.nii.gz, t1c_warped_longitudinal_alt.nii.gz, recurrence_preop_alt.nii.gz, and tgm010_Y_X_recurrence.nii.gz
[ok] tgm011: wrote t1c_warped_longitudinal.nii.gz, recurrence_preop.nii.gz, t1c_warped_longitudinal_alt.nii.gz, recurrence_preop_alt.nii.gz, and tgm011_Y_X_recurrence.nii.gz
[ok] tgm013: wrote t1c_warped_longitudinal.nii.gz, recurrence_preop.nii.gz, t1c_warped_longitudinal_alt.nii.gz, recurrence_preop_alt.nii.gz, and tgm013_Y_X_recurrence.nii.gz
[ok] tgm014: wrote t1c_warped_longitudinal.nii.gz, recurrence_preop.nii.gz, t1c_warped_longitudinal_alt.nii.gz, recurrence_preop_alt.nii.gz, and tgm014_Y_X_recurrence.nii.gz
[ok] tgm016: wrote t1c_warped_longitudinal.nii.gz, recurrence_preop.nii.gz, t1c_warped_longitudinal_alt.nii.gz, recurrence_preop_alt.nii.gz, and tgm016_Y_X_recurrence.nii.gz
[ok] tgm018: wrote t1c_warped_longitudinal.nii.gz, recurrence_preop.nii.gz, t1c_warped_longitudinal_alt.nii.gz, recurrence_preop_alt.nii.gz, and tgm018_Y_X_recurrence.nii.gz
[ok] tgm023: wrote t1c_warped_longitudinal.nii.gz, recurrence_preop.nii.gz, t1c_warped_longitudinal_alt.nii.gz, recurrence_preop_alt.nii.gz, and tgm023_Y_X_recurrence.nii.gz
[ok] tgm024: wrote t1c_warped_longitudinal.nii.gz, recurrence_preop.nii.gz, t1c_warped_longitudinal_alt.nii.gz, recurrence_preop_alt.nii.gz, and tgm024_Y_X_recurrence.nii.gz
[ok] tgm025: wrote t1c_warped_longitudinal.nii.gz, recurrence_preop.nii.gz, t1c_warped_longitudinal_alt.nii.gz, recurrence_preop_alt.nii.gz, and tgm025_Y_X_recurrence.nii.gz
[ok] tgm026: wrote t1c_warped_longitudinal.nii.gz, recurrence_preop.nii.gz, t1c_warped_longitudinal_alt.nii.gz, recurrence_preop_alt.nii.gz, and tgm026_Y_X_recurrence.nii.gz
[ok] tgm027: wrote t1c_warped_longitudinal.nii.gz, recurrence_preop.nii.gz, t1c_warped_longitudinal_alt.nii.gz, recurrence_preop_alt.nii.gz, and tgm027_Y_X_recurrence.nii.gz
[ok] tgm028: wrote t1c_warped_longitudinal.nii.gz, recurrence_preop.nii.gz, t1c_warped_longitudinal_alt.nii.gz, recurrence_preop_alt.nii.gz, and tgm028_Y_X_recurrence.nii.gz
[ok] tgm029: wrote t1c_warped_longitudinal.nii.gz, recurrence_preop.nii.gz, t1c_warped_longitudinal_alt.nii.gz, recurrence_preop_alt.nii.gz, and tgm029_Y_X_recurrence.nii.gz
[ok] tgm031: wrote t1c_warped_longitudinal.nii.gz, recurrence_preop.nii.gz, t1c_warped_longitudinal_alt.nii.gz, recurrence_preop_alt.nii.gz, and tgm031_Y_X_recurrence.nii.gz
[ok] tgm033: wrote t1c_warped_longitudinal.nii.gz, recurrence_preop.nii.gz, t1c_warped_longitudinal_alt.nii.gz, recurrence_preop_alt.nii.gz, and tgm033_Y_X_recurrence.nii.gz
[ok] tgm034: wrote t1c_warped_longitudinal.nii.gz, recurrence_preop.nii.gz, t1c_warped_longitudinal_alt.nii.gz, recurrence_preop_alt.nii.gz, and tgm034_Y_X_recurrence.nii.gz
[ok] tgm035: wrote t1c_warped_longitudinal.nii.gz, recurrence_preop.nii.gz, t1c_warped_longitudinal_alt.nii.gz, recurrence_preop_alt.nii.gz, and tgm035_Y_X_recurrence.nii.gz
[ok] tgm036: wrote t1c_warped_longitudinal.nii.gz, recurrence_preop.nii.gz, t1c_warped_longitudinal_alt.nii.gz, recurrence_preop_alt.nii.gz, and tgm036_Y_X_recurrence.nii.gz
[ok] tgm037: wrote t1c_warped_longitudinal.nii.gz, recurrence_preop.nii.gz, t1c_warped_longitudinal_alt.nii.gz, recurrence_preop_alt.nii.gz, and tgm037_Y_X_recurrence.nii.gz
[ok] tgm038: wrote t1c_warped_longitudinal.nii.gz, recurrence_preop.nii.gz, t1c_warped_longitudinal_alt.nii.gz, recurrence_preop_alt.nii.gz, and tgm038_Y_X_recurrence.nii.gz
[ok] tgm039: wrote t1c_warped_longitudinal.nii.gz, recurrence_preop.nii.gz, t1c_warped_longitudinal_alt.nii.gz, recurrence_preop_alt.nii.gz, and tgm039_Y_X_recurrence.nii.gz
[ok] tgm041: wrote t1c_warped_longitudinal.nii.gz, recurrence_preop.nii.gz, t1c_warped_longitudinal_alt.nii.gz, recurrence_preop_alt.nii.gz, and tgm041_Y_X_recurrence.nii.gz
[ok] tgm042: wrote t1c_warped_longitudinal.nii.gz, recurrence_preop.nii.gz, t1c_warped_longitudinal_alt.nii.gz, recurrence_preop_alt.nii.gz, and tgm042_Y_X_recurrence.nii.gz
[ok] tgm044: wrote t1c_warped_longitudinal.nii.gz, recurrence_preop.nii.gz, t1c_warped_longitudinal_alt.nii.gz, recurrence_preop_alt.nii.gz, and tgm044_Y_X_recurrence.nii.gz
